navmesh=101_nav
start=59,11,270
end=143.550094604,9.93442153931,310.858215332
path_count=14
0,59,11,270
1,66.7099990845,9.5547170639,262.016662598
2,67.2699966431,9.5547170639,261.456665039
3,79.2699966431,9.5547170639,250.336669922
4,79.5899963379,9.5547170639,250.256668091
5,80.8699951172,9.5547170639,250.016662598
6,87.9099960327,8.11471652985,249.776672363
7,90.8700027466,7.1547164917,249.936676025
8,91.5899963379,7.1547164917,250.016662598
9,96.7900009155,6.67471694946,254.17666626
10,105.909996033,7.1547164917,264.976654053
11,115.989997864,12.4347162247,294.576660156
12,116.38999939,12.4347162247,294.976654053
13,143.550094604,9.93442153931,310.858215332
