navmesh=101_nav
source=client screenshot path
start=59,11,270
end=143.55009460449,9.9344215393066,310.85821533203
path_count=14
0,59,11,270
1,67.1999694824,9.25305175813,261.56669082
2,79.2166675293,9.19471740727,250.483374023
3,80.1500012588,9.13684963989,250.25
4,80.8499847121,9.07805613403,250.133312988
5,88.1999694824,7.7363843811,249.899938965
6,89.1333129883,7.50305175813,249.899938965
7,91.5832824707,6.80350994873,250.133312988
8,96.8332824707,6.21971025757,254.333324707
9,97.0666654941,6.27805137634,254.566665649
10,105.699969482,8.31971740727,267.049079727
11,116.083328247,12.0535099487,294.583312988
12,116.316665494,12.0535099487,294.816659928
13,143.550094604,9.93442153931,310.858215332
