navmesh=101_nav
start=119.11,4.15472,24.4367
end=175.11,10.5147,357.017
path_count=24
0,119.11,4.15472,24.4367
1,142.63,3.31472,48.8167
2,142.79,3.31472,49.2167
3,149.11,-0.525283,75.9367
4,149.35,-0.0452831,77.3767
5,138.15,-0.525283,106.017
6,138.23,-0.525283,106.817
7,148.55,4.27472,164.737
8,149.59,4.75472,172.177
9,149.43,4.75472,173.537
10,149.11,4.27472,174.177
11,148.63,3.79472,175.137
12,147.91,2.83472,176.017
13,146.47,0.914717,177.777
14,146.07,0.434717,179.137
15,144.55,0.434717,191.137
16,147.35,0.434717,206.577
17,147.35,0.434717,207.217
18,144.79,2.35472,234.337
19,143.03,2.83472,237.377
20,138.95,4.27472,245.457
21,139.67,8.59472,296.337
22,140.07,9.07472,300.897
23,146.31,10.0347,317.217
